title,original_price,sale_price
ABC BabyBibi Bath Book,$18.99,"
      $15.99
      "
Baby Cloth Books About Weather - Set of 6,$19.99,"
      $18.99
      "
BabyBibi Color Me Bath Books + Crayons,$24.99,"
      $19.99
      "
"BabyBibi Floating Baby Bath Books. Set of 4: Fruit, Ocean, ABC, Numbers Books",,
BabyBibi Floating Baby Bath Books: Set of 4: Color Recognition Bath Books,,
BabyBibi Set of 4 Black and White Waterproof Books,$18.99,"
      $15.99
      "
BabyBibi Transport Bath Books - Set of 4,,
Bath Books Ultimate Mega Set,$39.99,"
      $29.99
      "
Bath Toys 36-Piece Set. Stick-On Foam Letters & Numbers,,
Bean Shapes with Graphics and Textures,$24.99,"
      $23.99
      "
Cloth Book About Veggies & Fruits,$18.99,"
      $17.99
      "
Cloth Books for Babies (Set of 9) - Color Recognition Series,$32.99,"
      $19.99
      "
