Title,Released_Date,Duration_in_hours,Rating
Sunset Blvd.,1950,1,8.4
The Great Dictator,1940,2,8.4
WALL·E,2008,1,8.4
Django Unchained,2012,2,8.4
Das Leben der Anderen,2006,2,8.4
Raiders of the Lost Ark,1981,1,8.4
Paths of Glory,1957,1,8.4
Memento,2000,1,8.4
Apocalypse Now,1979,2,8.4
Alien,1979,1,8.4
Nuovo Cinema Paradiso,1988,2,8.5
Rear Window,1954,1,8.5
Casablanca,1942,1,8.5
C'era una volta il West,1968,2,8.5
"Paris, Texas",1984,2,8.1
The Prestige,2006,2,8.5
The Shawshank Redemption,1994,2,9.3
The Princess Bride,1987,1,8.1
Le notti di Cabiria,1957,1,8.1
La battaglia di Algeri,1966,2,8.1
Fanny och Alexander,1982,3,8.1
It Happened One Night,1934,1,8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,1,8.1
Before Sunset,2004,1,8.1
Strasti po Andreyu,1966,3,8.1
Kaze no tani no Naushika,1984,1,8.1
Soorarai Pottru,2020,2,9.1
Rocky,1976,2,8.1
Amores perros,2000,2,8.1
Rush,2013,2,8.1
Into the Wild,2007,2,8.1
Fa yeung nin wah,2000,1,8.1
Eskiya,1996,2,8.2
Hotel Rwanda,2004,2,8.1
Life of Brian,1979,1,8.1
Koe no katachi,2016,2,8.2
"Monsters, Inc.",2001,1,8.1
Platoon,1986,2,8.1
Spotlight,2015,2,8.1
Rebecca,1940,2,8.1
Les quatre cents coups,1959,1,8.1
La haine,1995,1,8.1
Hachi: A Dog's Tale,2009,1,8.1
Cool Hand Luke,1967,2,8.1
Gangs of Wasseypur,2012,5,8.2
Ah-ga-ssi,2016,2,8.1
Logan,2017,2,8.1
Network,1976,2,8.1
Le salaire de la peur,1953,2,8.1
Million Dollar Baby,2004,2,8.1
Stand by Me,1986,1,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,2,8.1
Höstsonaten,1978,1,8.2
Ben-Hur,1959,3,8.1
How to Train Your Dragon,2010,1,8.1
The Big Lebowski,1998,1,8.1
Dead Poets Society,1989,2,8.1
To Be or Not to Be,1942,1,8.2
Mad Max: Fury Road,2015,2,8.1
Ford v Ferrari,2019,2,8.1
Barry Lyndon,1975,3,8.1
La passion de Jeanne d'Arc,1928,1,8.1
Hacksaw Ridge,2016,2,8.1
Andhadhun,2018,2,8.2
12 Years a Slave,2013,2,8.1
Gone Girl,2014,2,8.1
In the Name of the Father,1993,2,8.1
Mr. Smith Goes to Washington,1939,2,8.1
Catch Me If You Can,2002,2,8.1
Mary and Max.,2009,1,8.1
Before Sunrise,1995,1,8.1
Gran Torino,2008,1,8.1
Room,2015,1,8.1
Persona,1966,1,8.1
Sherlock Jr.,1924,45,8.2
Z,1969,2,8.2
